objectid,vilnam_soi,stcode11,dtcode11,sdtcode11,vilcode11,stname,dtname,sdtname,vilname,vilcode_n,relocated,t_pop2011,STVIL,LOC_STAT_1,NAME
"469257",Borkathoni,"18","307","02048","287514",ASSAM,Lakhimpur,Narayanpur,Borkathani,"287514",,"1095","18287514",Census Village,Borkathani
"469261",Changmai Gaon,"18","312","02078","293839",ASSAM,Jorhat,Jorhat East,Changmai Gaon,"293839",,"1824","18293839",Census Village,Changmai Gaon
"469276",Toramai Chapori,"18","312","02077","293689",ASSAM,Jorhat,Jorhat West,Toramari Chapori,"293689",,"0","18293689",Census Village,Toramari Chapori
"469277",Pichala No.2,"18","307","02048","287544",ASSAM,Lakhimpur,Narayanpur,No.2 Pichala,"287544",,"652","18287544",Census Village,No.2 Pichala
"469283",Kachari Gaon,"18","311","02073","292852",ASSAM,Sivasagar,Nazira,Kachari,"292852",,"915","18292852",Census Village,Kachari
"469289",Pukhuripara,"18","312","02078","293774",ASSAM,Jorhat,Jorhat East,Pukhuriporia Gaon,"293774",,"217","18293774",Census Village,Pukhuriporia Gaon
"469294",Changmai Gaon,"18","312","02078","293813",ASSAM,Jorhat,Jorhat East,Changmai Gaon,"293813",,"1203","18293813",Census Village,Changmai Gaon
"469303",Balijan Mazdoor,"18","756","02046","287014",ASSAM,Sonitpur,Helem,Balijan Mazdur,"287014",,"1114","18287014",Census Village,Balijan Mazdur
"469316",Dubia Gaon,"18","756","02047","287192",ASSAM,Sonitpur,Gohpur,Dubia Gaon,"287192",,"1266","18287192",Census Village,Dubia Gaon
"469326",Sorukathoni,"18","307","02048","287513",ASSAM,Lakhimpur,Narayanpur,Soru Kathoni,"287513",,"667","18287513",Census Village,Soru Kathoni
"469337",Gormora Pathar,"18","307","02048","287511",ASSAM,Lakhimpur,Narayanpur,Gormara Pathar,"287511",,"1","18287511",Census Village,Gormara Pathar
"469345",Anuboicha,"18","307","02048","287561",ASSAM,Lakhimpur,Narayanpur,Anuboicha,"287561",,"142","18287561",Census Village,Anuboicha
"469354",Nimati Chapari,"18","312","02077","293688",ASSAM,Jorhat,Jorhat West,Nemati Chapori,"293688",,"15","18293688",Census Village,Nemati Chapori
"469380",Uttar Gharfalia,"18","311","02072","292771",ASSAM,Sivasagar,Amguri,Uttar Gharphalia,"292771",,"582","18292771",Census Village,Uttar Gharphalia
"469387",Khatawal Pathar,"18","312","02078","293775",ASSAM,Jorhat,Jorhat East,Khatowal Pathar Gaon (Kamar Khatowal Pat,"293775",,"0","18293775",Census Village,Khatowal Pathar Gaon (Kamar Khatowal Pat
"469396",Pichala No.4,"18","307","02048","287543",ASSAM,Lakhimpur,Narayanpur,No.4 Pichala,"287543",,"0","18287543",Census Village,No.4 Pichala
