blkcode11,block_name,reg_count,full_pay_count,part_pay_count,no_pay_count,extra_pay_count,no_install_paid,amount_paid,no_install_due,amount_due
59,Dhal Pukhuri,11027,5387,5243,397,0,54187,"₹10,83,74,000 ",81525,"₹16,30,50,000 "
46,Dulongghat Pt.,1010,206,803,1,0,5140,"₹1,02,80,000 ",7577,"₹1,51,54,000 "
58,Jugijan,4399,2179,1985,235,0,22906,"₹4,58,12,000 ",33086,"₹6,61,72,000 "
44,Kapili Pt.,1278,674,603,1,0,7318,"₹1,46,36,000 ",9145,"₹1,82,90,000 "
56,Kathiatoli,6871,3872,2976,23,0,40656,"₹8,13,12,000 ",50698,"₹10,13,96,000 "
52,Laokhowa,2878,1246,1629,3,0,16726,"₹3,34,52,000 ",21655,"₹4,33,10,000 "
61,Udali,1978,1887,87,4,0,14953,"₹2,99,06,000 ",15254,"₹3,05,08,000 "
62,Lumding,6587,2139,3750,698,0,24401,"₹4,88,02,000 ",48537,"₹9,70,74,000 "
57,Raha,2146,1153,960,33,0,12596,"₹2,51,92,000 ",15880,"₹3,17,60,000 "
207,Tihu-barama,7093,4813,1829,451,0,45281,"₹9,05,62,000 ",53322,"₹10,66,44,000 "
201,Barigog-banbhag,12531,8118,2543,1870,0,70324,"₹14,06,48,000 ",87776,"₹17,55,52,000 "
199,Barkhetri,13090,11089,726,1275,0,83543,"₹16,70,86,000 ",92246,"₹18,44,92,000 "
204,Baksa,13577,10081,3172,324,0,86325,"₹17,26,50,000 ",98995,"₹19,79,90,000 "
68,Bihaguri,3873,3611,259,3,0,27953,"₹5,59,06,000 ",28772,"₹5,75,44,000 "
208,Dham Dhama,8115,6529,1504,82,0,54141,"₹10,82,82,000 ",60090,"₹12,01,80,000 "
72,Bishawnath,668,609,59,0,0,4852,"₹97,04,000 ",5029,"₹1,00,58,000 "
197,Madhupur,2924,2257,116,551,0,16819,"₹3,36,38,000 ",20095,"₹4,01,90,000 "
209,Nagrijulli,5161,2411,1778,972,0,23827,"₹4,76,54,000 ",35064,"₹7,01,28,000 "
198,Pachim Nalbari,196,2,93,101,0,279,"₹5,58,000 ",1074,"₹21,48,000 "
