,state,district,stcode11,dtcode11,blkcode11,block_name,block_lgd,FID,dist_lgd,state_lgd,st_area_sh,st_length_,objectid,vilnam_soi,stcode11_2,dtcode11_2,sdtcode11,vilcode11,stname,dtname,sdtname,vilname,vilcode_n,t_pop2011,STVIL,LOC_STAT_1,NAME,state_name,state_code,dist_name,dist_code,sub_name,sub_code,vill_name,vill_code,reg_count,full_pay_count,part_pay_count,no_pay_count,extra_pay_count,no_install_paid,amound_paid,no_install_due,amount_due
39,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,441177.0,Sariha Chakla,18.0,303.0,2024.0,283323.0,ASSAM,Barpeta,Bajali (Pt),Sariha Chakla (Sari Chakla),283323.0,2135.0,18283323.0,Census Village,Sariha Chakla (Sari Chakla),ASSAM,18,BARPETA,280,Bajali (Pt),2024,Sariha Chakla (Sari Chakla) - (283323),283323,114.0,2.0,88.0,24.0,0.0,166.0,332000,844.0,1688000
40,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,441311.0,Gobinapur,18.0,303.0,2024.0,283325.0,ASSAM,Barpeta,Bajali (Pt),Gobindapur,283325.0,1963.0,18283325.0,Census Village,Gobindapur,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Gobindapur - (283325),283325,191.0,18.0,167.0,6.0,0.0,450.0,900000,1483.0,2966000
41,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,441620.0,Barbang,18.0,303.0,2024.0,283289.0,ASSAM,Barpeta,Bajali (Pt),Barbang,283289.0,5685.0,18283289.0,Census Village,Barbang,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Barbang - (283289),283289,1021.0,6.0,664.0,351.0,0.0,1353.0,2706000,7466.0,14932000
42,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,441747.0,Dalaigaon,18.0,303.0,2024.0,283328.0,ASSAM,Barpeta,Bajali (Pt),Doloi Gaon,283328.0,176.0,18283328.0,Census Village,Doloi Gaon,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Doloi Gaon - (283328),283328,26.0,0.0,24.0,2.0,0.0,41.0,82000,199.0,398000
43,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,441799.0,Palah Simulbari,18.0,303.0,2024.0,283326.0,ASSAM,Barpeta,Bajali (Pt),Pahala Simalu Bari (Lalah),283326.0,1223.0,18283326.0,Census Village,Pahala Simalu Bari (Lalah),ASSAM,18,BARPETA,280,Bajali (Pt),2024,Pahala Simalu Bari (Lalah) - (283326),283326,162.0,8.0,139.0,15.0,0.0,316.0,632000,1215.0,2430000
44,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,441966.0,Nagargaon,18.0,303.0,2024.0,283282.0,ASSAM,Barpeta,Bajali (Pt),Nagar Gaon,283282.0,139.0,18283282.0,Census Village,Nagar Gaon,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Nagar Gaon - (283282),283282,18.0,0.0,10.0,8.0,0.0,17.0,34000,126.0,252000
45,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,441971.0,Hagurigaon,18.0,303.0,2024.0,283286.0,ASSAM,Barpeta,Bajali (Pt),Haguri Gaon,283286.0,1194.0,18283286.0,Census Village,Haguri Gaon,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Haguri Gaon - (283286),283286,76.0,3.0,63.0,10.0,0.0,157.0,314000,589.0,1178000
46,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,442253.0,Ratanpur,18.0,303.0,2024.0,283280.0,ASSAM,Barpeta,Bajali (Pt),Ratanpur,283280.0,1531.0,18283280.0,Census Village,Ratanpur,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Ratanpur - (283280),283280,308.0,6.0,280.0,22.0,0.0,569.0,1138000,2368.0,4736000
47,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,442412.0,Bichankuchi,18.0,303.0,2024.0,283327.0,ASSAM,Barpeta,Bajali (Pt),Bichan Kuchi,283327.0,1322.0,18283327.0,Census Village,Bichan Kuchi,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Bichan Kuchi - (283327),283327,188.0,4.0,136.0,48.0,0.0,319.0,638000,1406.0,2812000
48,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,442757.0,Bhogpur,18.0,303.0,2024.0,283279.0,ASSAM,Barpeta,Bajali (Pt),Bhogpur (Bhoupar),283279.0,1252.0,18283279.0,Census Village,Bhogpur (Bhoupar),ASSAM,18,BARPETA,280,Bajali (Pt),2024,Bhogpur (Bhoupar) - (283279),283279,377.0,5.0,164.0,208.0,0.0,329.0,658000,2577.0,5154000
