,state,district,stcode11,dtcode11,blkcode11,block_name,block_lgd,FID,dist_lgd,state_lgd,st_area_sh,st_length_,objectid,vilnam_soi,stcode11_2,dtcode11_2,sdtcode11,vilcode11,stname,dtname,sdtname,vilname,vilcode_n,t_pop2011,STVIL,LOC_STAT_1,NAME
1044,Assam,Cachar,18,316,146,Katigorah,2513,2600,282,18,174502619.1,123871.9637,330499.0,Dudhpur Part I,18.0,316.0,2095.0,298965.0,ASSAM,Cachar,Maibong,Dudpur Pt I,298965.0,2382.0,18298965.0,Census Village,Dudpur Pt I
1049,Assam,Cachar,18,316,146,Katigorah,2513,2600,282,18,174502619.1,123871.9637,330978.0,Gobindapur I,18.0,316.0,2095.0,298948.0,ASSAM,Cachar,Maibong,Gobindapur Pt I,298948.0,500.0,18298948.0,Census Village,Gobindapur Pt I
1050,Assam,Cachar,18,316,146,Katigorah,2513,2600,282,18,174502619.1,123871.9637,331056.0,Gobindapur I,18.0,316.0,2095.0,298948.0,ASSAM,Cachar,Maibong,Gobindapur Pt I,298948.0,500.0,18298948.0,Census Village,Gobindapur Pt I
1054,Assam,Cachar,18,316,146,Katigorah,2513,2600,282,18,174502619.1,123871.9637,331358.0,Jagadishpur Pt. V,18.0,316.0,2095.0,298937.0,ASSAM,Cachar,Maibong,Jagadishpur Pt V,298937.0,2596.0,18298937.0,Census Village,Jagadishpur Pt V
1057,Assam,Cachar,18,316,146,Katigorah,2513,2600,282,18,174502619.1,123871.9637,331463.0,Jagadishpur Pt. V,18.0,316.0,2095.0,298937.0,ASSAM,Cachar,Maibong,Jagadishpur Pt V,298937.0,2596.0,18298937.0,Census Village,Jagadishpur Pt V
1076,Assam,Cachar,18,316,146,Katigorah,2513,2600,282,18,174502619.1,123871.9637,334434.0,Salimabad,18.0,316.0,2095.0,298915.0,ASSAM,Cachar,Maibong,Salimabad,298915.0,973.0,18298915.0,Census Village,Salimabad
1077,Assam,Cachar,18,316,146,Katigorah,2513,2600,282,18,174502619.1,123871.9637,334458.0,Salimabad,18.0,316.0,2095.0,298915.0,ASSAM,Cachar,Maibong,Salimabad,298915.0,973.0,18298915.0,Census Village,Salimabad
1246,Assam,Cachar,18,316,147,Salchapra,2518,2603,282,18,73772252.48,89611.24451,326828.0,Ghagrapar I,18.0,316.0,2096.0,299223.0,ASSAM,Cachar,Katigora,Ghagrapar Pt I,299223.0,1537.0,18299223.0,Census Village,Ghagrapar Pt I
1247,Assam,Cachar,18,316,147,Salchapra,2518,2603,282,18,73772252.48,89611.24451,326865.0,Ghagrapar I,18.0,316.0,2096.0,299223.0,ASSAM,Cachar,Katigora,Ghagrapar Pt I,299223.0,1537.0,18299223.0,Census Village,Ghagrapar Pt I
1250,Assam,Cachar,18,316,147,Salchapra,2518,2603,282,18,73772252.48,89611.24451,327426.0,Hatirhar I,18.0,316.0,2096.0,299220.0,ASSAM,Cachar,Katigora,Hatirhar Pt I(Matirhar Pt I),299220.0,850.0,18299220.0,Census Village,Hatirhar Pt I(Matirhar Pt I)
1251,Assam,Cachar,18,316,147,Salchapra,2518,2603,282,18,73772252.48,89611.24451,327499.0,Hatirhar I,18.0,316.0,2096.0,299220.0,ASSAM,Cachar,Katigora,Hatirhar Pt I(Matirhar Pt I),299220.0,850.0,18299220.0,Census Village,Hatirhar Pt I(Matirhar Pt I)
1257,Assam,Cachar,18,316,147,Salchapra,2518,2603,282,18,73772252.48,89611.24451,328502.0,Algapur,18.0,316.0,2096.0,299218.0,ASSAM,Cachar,Katigora,Algapur,299218.0,1307.0,18299218.0,Census Village,Algapur
1258,Assam,Cachar,18,316,147,Salchapra,2518,2603,282,18,73772252.48,89611.24451,328658.0,Algapur,18.0,316.0,2096.0,299218.0,ASSAM,Cachar,Katigora,Algapur,299218.0,1307.0,18299218.0,Census Village,Algapur
1267,Assam,Cachar,18,316,147,Salchapra,2518,2603,282,18,73772252.48,89611.24451,331740.0,Badarpur Pt. I,18.0,316.0,2096.0,299187.0,ASSAM,Cachar,Katigora,Badarpur Pt I,299187.0,2102.0,18299187.0,Census Village,Badarpur Pt I
1274,Assam,Cachar,18,316,147,Salchapra,2518,2603,282,18,73772252.48,89611.24451,332357.0,Barjatrapur,18.0,316.0,2096.0,299260.0,ASSAM,Cachar,Katigora,Bajantipur Pt I,299260.0,1191.0,18299260.0,Census Village,Bajantipur Pt I
1275,Assam,Cachar,18,316,147,Salchapra,2518,2603,282,18,73772252.48,89611.24451,332514.0,Barjatrapur,18.0,316.0,2096.0,299260.0,ASSAM,Cachar,Katigora,Bajantipur Pt I,299260.0,1191.0,18299260.0,Census Village,Bajantipur Pt I
1276,Assam,Cachar,18,316,147,Salchapra,2518,2603,282,18,73772252.48,89611.24451,332798.0,Raninagar,18.0,316.0,2096.0,299173.0,ASSAM,Cachar,Katigora,Raninagar,299173.0,170.0,18299173.0,Census Village,Raninagar
1277,Assam,Cachar,18,316,147,Salchapra,2518,2603,282,18,73772252.48,89611.24451,332884.0,Raninagar,18.0,316.0,2096.0,299173.0,ASSAM,Cachar,Katigora,Raninagar,299173.0,170.0,18299173.0,Census Village,Raninagar
1280,Assam,Cachar,18,316,147,Salchapra,2518,2603,282,18,73772252.48,89611.24451,334228.0,Jareiltala,18.0,316.0,2096.0,299168.0,ASSAM,Cachar,Katigora,Jarailtala,299168.0,2157.0,18299168.0,Census Village,Jarailtala
1281,Assam,Cachar,18,316,147,Salchapra,2518,2603,282,18,73772252.48,89611.24451,334304.0,Jareiltala,18.0,316.0,2096.0,299168.0,ASSAM,Cachar,Katigora,Jarailtala,299168.0,2157.0,18299168.0,Census Village,Jarailtala
1303,Assam,Cachar,18,316,150,Silchar,2519,2604,282,18,92263550.26,76937.16478,329144.0,Tupkhana I,18.0,316.0,2096.0,299378.0,ASSAM,Cachar,Katigora,Tupkhana Pt I (CT),299378.0,4640.0,18299378.0,Census Village,Tupkhana Pt I (CT)
1304,Assam,Cachar,18,316,150,Silchar,2519,2604,282,18,92263550.26,76937.16478,329439.0,Tupkhana I,18.0,316.0,2096.0,299378.0,ASSAM,Cachar,Katigora,Tupkhana Pt I (CT),299378.0,4640.0,18299378.0,Census Village,Tupkhana Pt I (CT)
1547,Assam,Cachar,18,316,152,Tapang,2521,2608,282,18,235208501.0,87981.06748,317510.0,Irongmara,18.0,316.0,2096.0,299385.0,ASSAM,Cachar,Katigora,Irongmara (CT),299385.0,7685.0,18299385.0,Census Village,Irongmara (CT)
1559,Assam,Cachar,18,316,152,Tapang,2521,2608,282,18,235208501.0,87981.06748,321314.0,Tapang Ii,18.0,316.0,2096.0,299278.0,ASSAM,Cachar,Katigora,Tapang Pt II,299278.0,540.0,18299278.0,Census Village,Tapang Pt II
1560,Assam,Cachar,18,316,152,Tapang,2521,2608,282,18,235208501.0,87981.06748,321358.0,Tapang Ii,18.0,316.0,2096.0,299278.0,ASSAM,Cachar,Katigora,Tapang Pt II,299278.0,540.0,18299278.0,Census Village,Tapang Pt II
1585,Assam,Cachar,18,316,151,Udarbond,2522,2609,282,18,526064038.0,145485.3575,330665.0,Dudpatil Vi,18.0,316.0,2097.0,299380.0,ASSAM,Cachar,Silchar,Dudhpatil Pt VI (CT),299380.0,5083.0,18299380.0,Census Village,Dudhpatil Pt VI (CT)
1601,Assam,Cachar,18,316,151,Udarbond,2522,2609,282,18,526064038.0,145485.3575,332382.0,Dayapur Part I,18.0,316.0,2097.0,299446.0,ASSAM,Cachar,Silchar,Doyapore Pt I,299446.0,2136.0,18299446.0,Census Village,Doyapore Pt I
